,Objeto do Contrato,Tipo de Procedimento,Tipo(s) de Contrato,CPV,CPV Tipo ,CPV Designação,CPV Valor,Entidade(s) Adjudicante(s),Entidade(s) Adjudicatária(s),Preço Contratual,Data de Publicação,Data de Celebração do Contrato,Prazo de Execução,Fundamentação,Causa de Extinção do Contrato,Data de Fecho do Contrato,Preço Total Efetivo,Causas das Alterações ao Prazo,Causas das Alterações ao Preço,Estado,N.º registo do Acordo Quadro,Descrição do Acordo Quadro,Procedimento Centralizado,Ligação para Peças do Procedimento,Lista de Fornecedores (cocontratantes),Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE,groupMembers,CPV_VALOR_TRIM,NIF_AJUDICARIO,Nome_tratado
1208,Aquisição de serviços de apoio ao secretariado,Concurso público,Aquisição de serviços,79992000-4,Principal,Serviços de recepção,43265.31 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","WINNING Scientific Management, LDA (510098711)","43.265,31 €",14-06-2018,2018-05-15,548 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,43265.31,510098711,WINNING SCIENTIFIC MANAGEMENT LDA. (510098711)
1209,Prestação de serviços para análise do posicionamento da comunicação do SNS no digital e diagnóstico da estrutura de gestão de comunicação content marketing  ,Ajuste Direto Regime Geral,Aquisição de serviços,79342200-5,Principal,Serviços de promoção,18500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",uppOut (513547398),"18.500,00 €",07-06-2018,2018-04-26,180 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,18500.0,513547398,uppOut (513547398)
1210,Aquisição de anúncios em Jornal ,Consulta Prévia,Aquisição de serviços,79341000-6,Principal,Serviços de publicidade,64800.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","COFINA MEDIA, S.A. (502801034)","64.800,00 €",06-06-2018,2018-05-14,240 dias,"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,64800.0,502801034,"COFINA MEDIA, S.A. (502801034)"
1211,Convite ao abrigo do acordo quadro - Serviços de manutenção do licenciamento SmartDocs,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços<br/>Aquisição de bens móveis,48100000-9,Principal,Pacote de software para sectores específicos,171996.94 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Fujitsu Technology Solutions, Lda (500646791)","171.996,94 €",06-06-2018,2018-03-02,304 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,610968,Acordo quadro de licenciamento de software e serviços conexos,False,,False,,,171996.94,500646791,"Fujitsu Technology Solutions, Lda (500646791)"
1212,Convite ao abrigo do acordo quadro - Serviços de consultadoria jurídica no ramo da contratação pública,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,79111000-5,Principal,Serviços de assessoria jurídica,48757.5 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Eduardo Serra Jorge & Maria José Garcia Sociedade de Advogados RL (503552119),"48.757,50 €",06-06-2018,2018-05-16,365 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,48757.5,503552119,Eduardo Serra Jorge & Maria José Garcia Sociedade de Advogados RL (503552119)
1213,Aquisição de serviços de saúde no trabalho,Concurso público,Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,7674.96 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","MEDI-T Saúde, Lda (507760425)","7.674,96 €",06-06-2018,2018-05-04,710 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7674.96,507760425,"MEDI-T Saúde, Lda (507760425)"
1214,Aquisição de serviços de segurança e higiene no trabalho,Concurso público,Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,6300.01 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","MEDI-T2 HIGIENE E SEGURANÇA, LDA (505241994)","6.300,01 €",06-06-2018,2018-05-04,365 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,6300.01,505241994,"MEDI-T2 HIGIENE E SEGURANÇA, LDA (505241994)"
1215,Convite ao abrigo de acordo quadro - Aquisição de servidores para upgrade do equipamento do datacenter da SPMS em Lisboa,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,32424000-1,Principal,Infra-estrutura de rede,64970.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","IDW – Consultoria em Serviços de Informação, Lda. (504243926)","64.970,00 €",04-06-2018,2018-02-12,300 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1196657,Acordo Quadro para aquisição e aluguer operacional de equipamento informático,False,,False,,,64970.0,504243926,"IDW - Consultoria em Serviços de Informação, Lda. (504243926)"
1216,Serviços de assessoria jurídica ,Consulta Prévia,Aquisição de serviços,79111000-5,Principal,Serviços de assessoria jurídica,23000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Cuatrecasas, Gonçalves Pereira & Associados, Sociedade de Advogados, RL (502101210)","23.000,00 €",01-06-2018,2018-05-07,240 dias,"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,23000.0,502101210,"Cuatrecasas, Gonçalves Pereira & Associados, Sociedade de Advogados, RL (502101210)"
1217,Aquisição de serviços para desenvolvimento do voucher de Acesso Integrado (VAI),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,66964.48 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Altranportugal, S.A. (504272179)","66.964,48 €",01-06-2018,2018-04-20,270 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,66964.48,504272179,"AltranPortugal, S.A. (504272179)"
1218, Aquisição de serviços para desenvolvimentos do Voucher de Acesso Integrado (VAI).,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,67274.24 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NTT DATA Portugal, S.A. (506204650)","67.274,24 €",01-06-2018,2018-04-20,243 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,67274.24,506204650,"NTT Data Portugal, S.A. (506204650)"
1219,Aquisição de serviços para desenvolvimentos do Voucher de Acesso Integrado (VAI).,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,63360.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NTT DATA Portugal, S.A. (506204650)","63.360,00 €",01-06-2018,2018-04-20,243 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,63360.0,506204650,"NTT Data Portugal, S.A. (506204650)"
1220,Convite ao abrigo do acordo quadro - Serviços de apoio à gestão de portfolio de iniciativas no contexto da ENESIS 2020,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,27675.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NTT DATA Portugal, S.A. (506204650)","27.675,00 €",01-06-2018,2018-05-11,180 dias,Artigo 259.º do Código dos Contratos Públicos,Cumprimento integral do contrato,06-06-2019,"27.675,00 €","Data do consumo integral das horas, conforme o nº 2 da cláusula 2ª do contrato",,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,27675.0,506204650,"NTT Data Portugal, S.A. (506204650)"
1221,Aquisição de serviços para desenvolvimentos do Voucher de Acesso Integrado (VAI).,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,68456.96 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Altranportugal, S.A. (504272179)","68.456,96 €",01-06-2018,2018-04-20,243 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,68456.96,504272179,"AltranPortugal, S.A. (504272179)"
1222,"Aquisição serviços para definição de modelo conceptual, acompanhamento e apoio à elaboração de novos acordos quadro.",Concurso público,Aquisição de serviços,79420000-4,Principal,Serviços relacionados com a gestão,33500.01 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",WINNING SCIENTIFIC MANAGEMENT LDA. (510098711),"33.500,01 €",30-05-2018,2018-03-01,183 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,33500.01,510098711,WINNING SCIENTIFIC MANAGEMENT LDA. (510098711)
1223,Aquisição serviços de consultoria para a definição de competências digitais para profissionais de saúde no âmbito da JASEHN T7.1.2 e T7.1.3.,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,20345.6 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Everis Portugal, S.A. (506204650)","20.345,60 €",30-05-2018,2018-05-10,122 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,20345.6,506204650,"NTT Data Portugal, S.A. (506204650)"
1224,"AQUISIÇÃO, IMPLEMENTAÇÃO E EXPLORAÇÃO  DA REDE INFORMÁTICA DA SAÚDE (RIS) ",Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,120000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Nos Comunicação, S.A. (502604751)","120.000,00 €",30-05-2018,2018-02-12,30 dias,"Artigo 24.º, n.º 1, alínea f) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,120000.0,502604751,"NOS- Comunicações, S.A (502604751)"
1225,Convite ao abrigo de acordo quadro - Serviços especializados para a Direção de Planeamento e Desenvolvimento Organizacional,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,79420000-4,Principal,Serviços relacionados com a gestão,85184.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","ITEN SOLUTIONS - SISTEMAS DE INFORMAÇÃO, S.A. (510728189)","85.184,00 €",25-05-2018,2018-05-03,710 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,85184.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)"
1226,Convite ao abrigo do acordo quadro - Serviços de apoio ao Nucleo de Easy Procurement,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,115734.08 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Everis Portugal, S.A. (506204650)","115.734,08 €",24-05-2018,2018-05-02,710 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,2096651,Acordo quadro para Prestação de Serviços de Consultadoria na área Jurídica às Instituições e Serviços do Serviço Nacional de Saúde e entidades do Ministério da Saúde ,False,,False,,,115734.08,506204650,"NTT Data Portugal, S.A. (506204650)"
1227,Aquisição de infraestrutura para o Datacenter do Porto e serviços conexos para a SPMS,Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,197999.99 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",Informática El Corte Inglés S.A. (980079659),"197.999,99 €",24-05-2018,2018-04-04,61 dias,"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,197999.99,980079659,"Informática El corte Inglês, SA (980079659)"
1228,Convite à apresentação de proposta aos fornecedores com os quais tenha sido homologado CPA ao abrigo do CP 2015/20 – Contracetivos Orais Profiláticos e Mecânicos para aquisição de preservativos masculinos no âmbito do Programa de Troca de Seringas,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de bens móveis,33000000-0,Principal,"Equipamento médico, medicamentos e produtos para cuidados pessoais",26500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","EZEQUIEL PANAO JORGE, LDA (501412727)","26.500,00 €",24-05-2018,2018-02-20,365 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1459323,CP 2015/20,False,,False,,,26500.0,501412727,"EZEQUIEL PANAO JORGE, LDA (501412727)"
1229,Serviços de viagens e alojamentos nacionais e internacionais no âmbito dos eventos e conferências da SPMS,Ajuste Direto Regime Geral,Aquisição de serviços,79952000-2,Principal,Serviços de eventos,19950.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Viagens Abreu, S.A. (500297177)","19.950,00 €",24-05-2018,2018-03-15,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19950.0,500297177,"Viagens Abreu, S.A. (500297177)"
1230,Serviços especializados para complemento de competências na área de projetos internacionais ,Ajuste Direto Regime Geral,Aquisição de serviços,79421000-1,Principal,"Serviços de gestão de projectos, excepto projectos de construção",74000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Jürgen Wehnert, urbane ressourcen (DE257259171)","74.000,00 €",23-05-2018,2018-03-06,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,10-04-2019,"74.000,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,74000.0,DE257259171,"Jürgen Wehnert, urbane ressourcen (DE257259171)"
1231,Convite ao abrigo do acordo quadro - Aquisição de Serviços de acompanhamento e desenvolvimento de projetos internacionais no âmbito do public procurement ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,79420000-4,Principal,Serviços relacionados com a gestão,97574.4 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (SNCP) (509540716)","BIQ - Health Solutions, Lda. (504105337)","97.574,40 €",23-05-2018,2018-03-20,710 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,97574.4,504105337,"BIQ – HEALTH SOLUTIONS, LDA. (504105337)"
1232,aquisição de serviços de apoio especializado ao controlo de gestão da Direção de Sistemas de Informação.,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,71356300-1,Principal,Serviços de apoio técnico,42766.24 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NTT DATA Portugal, S.A. (506204650)","42.766,24 €",22-05-2018,2018-04-26,365 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,42766.24,506204650,"NTT Data Portugal, S.A. (506204650)"
1233,Aquisição Serviços de apoio especializado ao Núcleo Easy Procurement,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,168960.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (SNCP) (509540716)","CLARANET II SOLUTIONS, S.A. (510728189)","168.960,00 €",22-05-2018,2018-04-10,710 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,168960.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)"
1234,Convite ao abrigo do acordo quadro - Aquisição de serviços de gestão de programa e gestão de projeto para suporte ao programa exames sem papel ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,93139.2 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","AltranPortugal, S.A. (504272179)","93.139,20 €",22-05-2018,2018-05-08,230 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,93139.2,504272179,"AltranPortugal, S.A. (504272179)"
1235,Aquisição de serviços de limpeza para edifício na Av. 5 de outubro ,Consulta Prévia,Aquisição de serviços,90910000-9,Principal,Serviços de limpeza,30645.6 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Euromex - Facility Services, Lda. (502629428)","30.645,60 €",22-05-2018,2018-03-12,360 dias,"Artigo 19.º, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,30645.6,502629428,"Euromex - Facility Services, Lda (502629428)"
1236,Aquisição de serviços de manutenção de equipamento CISCO,Concurso público,Aquisição de serviços,50312600-1,Principal,Manutenção e reparação de equipamento para as tecnologias da informação,84726.29 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Warpcom Services, S.A. (505134195)","84.726,29 €",22-05-2018,2018-04-02,365 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,84726.29,505134195,"WARPCOM SERVICES, SA (505134195)"
1237,Aquisição de serviços de manutenção e suporte aplicacional para o Sistema de Gestão de Transporte de Doentes,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,340000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","LINK CONSULTING, Tecnologias de Informação, S.A. (504551221)","340.000,00 €",18-05-2018,2018-03-19,286 dias,"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,340000.0,504551221,"Link Consulting - Técnologias de Informação, S.A. (504551221)"
1238,Aquisição de serviços de transporte para mudança,Ajuste Direto Regime Geral,Aquisição de serviços,60100000-9,Principal,Serviços de transporte rodoviário,19900.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Transportes Rodrigues & Lourenço, Lda (500885087)","19.900,00 €",18-05-2018,2018-02-26,181 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19900.0,500885087,"Transportes Rodrigues & Lourenço, Lda (500885087)"
1239,Aquisição de Serviços para apoio à Direcção de Comunicação e Relações Públicas ,Concurso público,Aquisição de serviços,79342200-5,Principal,Serviços de promoção,228947.37 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Searchwind-Consultores de Gestão Lda (509042635),"228.947,37 €",18-05-2018,2018-04-20,455 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,228947.37,509042635,Searchwind-Consultores de Gestão Lda (509042635)
1240,AQUISIÇÃO DE SERVIÇOS PARA DESENVOLVIMENTO DO VOUCHER DE ACESSO INTEGRADO (VAI) ,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,52096.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","CLARANET II SOLUTIONS, S.A. (510728189)","52.096,00 €",18-05-2018,2018-04-19,243 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,52096.0,510728189,"CLARANET II SOLUTIONS, S.A. (510728189)"
1241,AQUISIÇÃO DE SERVIÇOS DE GESTÃO OPERACIONAL PARA O CENTRO DE SUPORTE,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,56000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Solidnetworks - Business Consulting, Lda. (508991579)","56.000,00 €",18-05-2018,2018-04-17,730 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,56000.0,508991579,"Solidnetworks - Business Consulting, Lda. (508991579)"
1242,Aquisição de serviços de evolução e manutenção das aplicações Mobile Mysns ,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,120384.01 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",PDM (502980826),"120.384,01 €",18-05-2018,2018-03-08,730 dias,Artigo 28.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,120384.01,502980826,"PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria (502980826)"
1243,Aquisição de serviços de apoio à elaboração de projetos no âmbito dos contratos públicos.,Concurso público,Aquisição de serviços,79420000-4,Principal,Serviços relacionados com a gestão,180177.12 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",RH Portugal-Consultores em Investimento Humano (503461245),"180.177,12 €",18-05-2018,2018-03-26,540 dias,"Artigo 21.º, n.º 1, alínea b) do Código dos Contratos Públicos",Cumprimento integral do contrato,28-12-2018,"180.177,12 €",,,,Não aplicável.,Não aplicável.,False,,False,,,180177.12,503461245,RH PORTUGAL CONSULTORES EM INVESTIMENTOS HUMANOS LDA (503461245)
1244,"(DCPI) Prestação de Serviços para Elaboração de Projeto de Instalações Elétricas do Edifício do Porto da SPMS, EPE",Concurso público,Aquisição de serviços,79421200-3,Principal,"Serviços de concepção de projectos, excepto projectos de construção",4195.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","WA - Engenharia e Consultadoria, Lda (513942696)","4.195,00 €",18-05-2018,2018-05-04,42 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,4195.0,513942696,"WA - Engenharia e Consultadoria, Lda (513942696)"
1245,Aquisição de stand promocional ,Concurso público,Aquisição de bens móveis,39154100-7,Principal,Stands de exposição,7510.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","MBWY, Trade & Services, Unipessoal, Lda. (513436383)","7.510,00 €",16-05-2018,2018-03-05,30 dias,"Artigo 155.º, alínea a) do Código dos Contratos Públicos",Cumprimento integral do contrato,28-05-2018,"7.510,00 €",,,,Não aplicável.,Não aplicável.,False,,False,,,7510.0,513436383,"MBWY, Trade & Services, Unipessoal, Lda. (513436383)"
1246,Aqisição de sacos e caricas (safecooker) no âmbito do Programa Troca de Seringas,Concurso público,Aquisição de bens móveis,18000000-9,Principal,"Vestuário, calçado, malas e artigos de viagem, acessórios",20500.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",Efervescente - Design e Comunicação Lda. (506738400),"20.500,00 €",11-05-2018,2018-05-04,304 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,20500.0,506738400,"Efervescente Design e Comunicação, Lda. (506738400)"
1247,Aquisição de serviços para patrocínio judicial ,Ajuste Direto Regime Geral,Aquisição de serviços,79111000-5,Principal,Serviços de assessoria jurídica,67500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Miranda & Associados - Sociedade de Advogados SP RL (505701839),"67.500,00 €",10-05-2018,2018-03-20,285 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,67500.0,505701839,"Miranda & Associados - Sociedade de Advogados, SP, RL (505701839)"
1248,Aquisição de serviços de catering,Concurso público,Aquisição de serviços,79952000-2,Principal,Serviços de eventos,50000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","ITAU - Instituto Técnico de Alimentação Humana, S.A. (500142858)","50.000,00 €",10-05-2018,2018-04-03,365 dias,"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,50000.0,500142858,"ITAU - Instituto Técnico de Alimentação Humana, SA (500142858)"
1249,Aquisição de serviços de análise e desenvolvimento necessários para o PNB (Portuguese National Broker) e NCP.pt (National Contact Point Portugal),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,133337.6 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Altranportugal, S.A. (504272179)","133.337,60 €",09-05-2018,2018-04-05,274 dias,"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,133337.6,504272179,"AltranPortugal, S.A. (504272179)"
1250,Aquisição de serviços de consultoria na área jurídica para apoio na realização de uma parceria para a inovação ,Ajuste Direto Regime Geral,Aquisição de serviços,79111000-5,Principal,Serviços de assessoria jurídica,19875.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",LUIS FILIPE FONSECA VERDE DE SOUSA,"19.875,00 €",09-05-2018,2018-04-11,263 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19875.0,,
1251,Aquisição de Serviços de Manutenção e Suporte do Sistema de Informação para a Saúde Oral - SISO ,Ao abrigo de acordo-quadro (art.º 259.º),Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,67320.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Everis Portugal, S.A. (506204650)","67.320,00 €",09-05-2018,2018-03-27,540 dias,Artigo 259.º do Código dos Contratos Públicos,,,,,,,1950010,Acordo quadro para Prestação de Serviços de Consultadoria na área da Saúde e Segurança   às Instituições e Serviços do Serviço Nacional de Saúde  ,False,,False,,,67320.0,506204650,"NTT Data Portugal, S.A. (506204650)"
1252,Aquisição de Combustíveis Rodoviários para as viaturas da SPMS,Ajuste Direto Regime Geral,Aquisição de bens móveis,09134100-8,Principal,Gasóleo,8000.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Petróleos de Portugal - Petrogal, SA. (500697370)","8.000,00 €",09-05-2018,2018-04-06,266 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,8000.0,500697370,"Petrogal, S.A. (500697370)"
1253,Aquisição de serviços de administração de base de dados para os sistemas centrais ,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,9950.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","WHYMOB, Lda. (510856101)","9.950,00 €",09-05-2018,2018-03-08,90 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,9950.0,510856101,Whymob (510856101)
